,gene_symbol,GSM3118997,GSM3118998,GSM3118999,GSM3119000,GSM3119001,GSM3119002,GSM3119003,GSM3119004,GSM3119005,GSM3119006,GSM3119007,GSM3119008,GSM3119009,GSM3119010,GSM3119011,GSM3119012,GSM3119013,GSM3119014,GSM3119015,GSM3119016
ENSMUSG00000000001,Gnai3,1689,1278,2153,828,1146,996,1372,1375,841,1121,820,1091,1065,882,718,785,1435,1204,1635,892
ENSMUSG00000000003,Pbsn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000028,Cdc45,92,71,110,52,60,42,71,63,47,60,29,56,58,45,39,46,89,77,93,59
ENSMUSG00000000031,H19,2,4,8,2,2,5,10,2,4,4,2,1,2,14,5,1,2,4,1,9
ENSMUSG00000000037,Scml2,77,62,131,35,73,24,46,66,42,81,14,19,25,50,16,48,23,16,31,19
ENSMUSG00000000049,Apoh,17,20,26,4,13,24,26,20,14,16,9,10,15,11,9,13,33,16,23,7
ENSMUSG00000000056,Narf,3100,2445,3507,1366,1808,1559,2112,2142,1595,1662,1486,2005,1906,1512,1375,1451,3027,1973,2865,1370
ENSMUSG00000000058,Cav2,2146,1225,2854,1305,1574,1183,1407,1594,1264,1753,752,904,992,1114,890,736,1515,980,1440,1161
ENSMUSG00000000078,Klf6,3582,2813,4397,1872,2487,1800,2713,3027,1779,2649,1320,1849,1716,1481,1327,1391,2359,2146,2876,1489
ENSMUSG00000000085,Scmh1,2742,2216,3339,1450,1770,1547,1824,2090,1621,1797,1250,1403,1405,1257,1207,1224,2360,1630,2343,1194
ENSMUSG00000000088,Cox5a,6362,4213,7394,2194,2980,3158,3990,4287,2417,2989,3203,3028,3243,2479,1817,2786,5045,3581,5217,2168
ENSMUSG00000000093,Tbx2,139,122,166,76,99,63,77,93,85,81,41,55,49,61,31,24,91,55,77,47
ENSMUSG00000000094,Tbx4,11,9,20,6,7,10,2,8,7,7,2,8,5,6,5,3,6,5,10,2
ENSMUSG00000000103,Zfy2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000120,Ngfr,41,26,56,18,36,19,23,29,19,30,7,20,13,18,11,16,18,15,17,7
ENSMUSG00000000125,Wnt3,91,71,93,33,52,43,36,48,56,63,54,43,50,33,34,30,94,80,111,44
ENSMUSG00000000126,Wnt9a,2040,1446,2457,910,1062,1154,1225,1424,1018,1144,569,688,630,502,438,580,1209,846,1315,567
ENSMUSG00000000127,Fer,872,612,937,393,488,417,639,601,379,600,369,506,398,343,440,353,588,544,787,386
ENSMUSG00000000131,Xpo6,7295,5234,7842,3040,4895,3419,3950,4335,3566,4099,2988,3335,2872,2531,2343,2898,4835,3673,5254,2714
ENSMUSG00000000134,Tfe3,2795,2143,3593,1329,1961,1619,1914,2220,1447,1888,1201,1304,1423,1170,968,1129,2219,1638,2329,1192
ENSMUSG00000000142,Axin2,1686,1499,2295,1025,1499,990,1277,1525,999,1260,713,952,894,859,751,784,1528,1068,1417,858
ENSMUSG00000000148,Brat1,1575,1083,1967,723,913,906,1058,1077,822,887,620,663,614,610,492,590,1154,872,1188,615
ENSMUSG00000000149,Gna12,4546,3118,5059,1891,2688,2463,2848,3119,2188,2483,1863,2396,1997,1847,1662,1778,3784,2582,3647,1830
ENSMUSG00000000154,Slc22a18,16,19,21,10,4,9,12,15,16,15,9,10,4,6,3,7,14,18,17,7
ENSMUSG00000000157,Itgb2l,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000159,Igsf5,18,16,34,9,20,25,21,18,4,12,4,19,5,9,5,7,22,7,10,6
ENSMUSG00000000167,Pih1d2,149,138,186,92,103,86,114,142,97,101,58,57,89,44,55,54,98,86,105,46
ENSMUSG00000000168,Dlat,4955,3975,6392,2546,3274,2912,3775,4005,2650,3340,2399,2865,2800,2302,1979,2166,4373,3681,4427,2393
ENSMUSG00000000171,Sdhd,4689,3105,5413,1996,2599,2351,3160,3244,2046,2582,2103,2559,2418,1838,1777,2047,3701,2934,3901,1978
ENSMUSG00000000182,Fgf23,48,42,56,15,34,20,27,22,29,37,10,12,11,13,14,13,19,19,13,14
ENSMUSG00000000183,Fgf6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000184,Ccnd2,3707,3032,4294,1912,2575,2145,3291,2905,1943,2686,2429,3666,2950,2500,2332,2408,4410,3867,4640,2544
ENSMUSG00000000194,Gpr107,3376,2503,4350,1618,2197,1967,2647,2654,1706,2195,1672,2220,1861,1585,1281,1567,3196,2526,3588,1700
ENSMUSG00000000197,Nalcn,7224,5237,7695,3259,4420,3336,5204,4736,3106,5062,3049,4247,3472,2645,3034,3024,4986,4379,5969,3137
ENSMUSG00000000202,Btbd17,863,613,907,387,464,514,614,520,384,441,391,387,394,370,309,358,822,437,681,353
ENSMUSG00000000204,Slfn4,4,0,1,0,0,1,0,1,0,0,0,0,0,2,5,0,0,0,0,2
ENSMUSG00000000214,Th,82,88,97,54,59,67,72,73,55,53,49,31,48,23,40,44,79,65,81,47
ENSMUSG00000000215,Ins2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000216,Scnn1g,11,7,12,4,9,8,10,7,5,4,2,6,10,4,6,7,3,2,10,1
ENSMUSG00000000223,Drp2,9491,7061,11027,4668,5638,4880,6919,6611,4492,5537,3184,3989,3788,3046,3029,3073,5835,4920,6414,3540
ENSMUSG00000000244,Tspan32,6,3,2,3,0,3,5,2,5,2,3,3,2,0,3,5,4,2,0,9
ENSMUSG00000000247,Lhx2,3042,2333,3522,1552,2087,1885,2056,2092,1616,1894,1266,1450,1422,1552,1243,1281,2672,1804,2530,1309
ENSMUSG00000000248,Clec2g,1,1,0,0,6,0,0,0,0,6,1,0,1,0,0,0,0,0,0,0
ENSMUSG00000000253,Gmpr,2447,1507,2586,899,1273,1205,1327,1633,934,1146,933,1217,915,754,693,804,1613,1095,1567,775
ENSMUSG00000000263,Glra1,19,28,5,5,25,4,24,4,5,14,14,6,9,1,8,6,10,29,15,10
ENSMUSG00000000266,Mid2,1568,1166,1808,804,1084,688,1172,1057,734,1242,630,1099,786,686,738,564,1123,915,1297,783
ENSMUSG00000000275,Trim25,391,368,511,227,278,307,395,365,230,263,118,236,211,177,120,96,292,263,278,201
ENSMUSG00000000276,Dgke,7257,5037,8040,3373,4147,3353,4839,4985,3199,4622,3057,3803,3663,2881,2873,2731,4833,4006,5454,2902
ENSMUSG00000000278,Scpep1,841,631,1080,451,501,561,735,699,449,540,325,426,423,366,293,307,637,536,625,373
ENSMUSG00000000282,Mnt,2433,2161,2664,1185,1949,1393,1770,1934,1653,2004,1013,1339,1143,1304,1226,1094,1928,1757,1975,1091
ENSMUSG00000000290,Itgb2,276,227,303,176,260,182,218,239,151,202,147,161,132,167,145,132,220,197,243,156
ENSMUSG00000000295,Hddc2,528,401,650,261,305,247,319,381,238,315,199,261,212,209,165,213,342,287,371,185
ENSMUSG00000000296,Tpd52l1,181,196,309,85,108,94,201,248,91,99,106,122,99,117,100,58,152,140,185,85
ENSMUSG00000000301,Pemt,107,85,125,39,68,62,60,81,48,48,38,57,30,28,26,31,78,65,53,28
ENSMUSG00000000303,Cdh1,74,190,206,99,142,57,143,174,162,120,42,133,96,78,85,31,167,135,187,133
ENSMUSG00000000305,Cdh4,1653,1254,2165,1082,1294,1217,1477,1414,1155,1136,1058,1199,1060,1196,907,869,1768,1424,1770,937
ENSMUSG00000000308,Ckmt1,13182,10293,16573,6124,8269,7399,8819,9741,6922,9253,6160,6882,6036,5710,4917,5888,10890,8574,11434,5413
ENSMUSG00000000317,Bcl6b,109,95,200,77,104,88,136,133,94,128,36,57,58,52,54,25,66,54,59,45
ENSMUSG00000000318,Clec10a,31,34,29,37,53,20,32,42,17,18,18,34,55,21,13,11,34,27,24,31
ENSMUSG00000000320,Alox12,44,45,79,28,40,31,28,57,41,32,13,12,11,12,8,7,19,15,9,12
ENSMUSG00000000325,Arvcf,2446,1600,2677,1156,1371,1365,1520,1685,1201,1336,1066,1122,1205,1165,850,1023,2086,1460,1992,1064
ENSMUSG00000000326,Comt,4872,3780,5207,2106,2921,2642,2889,3047,2336,2942,2117,2580,1942,2146,1704,2078,3910,2901,3609,2037
ENSMUSG00000000339,Rtca,2853,2109,3322,1183,1645,1431,1876,2016,1346,1716,1105,1344,1258,1114,1016,1051,1950,1668,2109,1010
ENSMUSG00000000340,Dbt,927,751,1213,539,619,525,792,742,554,692,447,643,644,630,558,461,938,780,908,653
ENSMUSG00000000346,Dazap2,7019,5089,7976,3381,4567,3673,4876,5121,3671,4498,3007,3801,3653,3157,2802,2756,5511,4509,5548,3376
ENSMUSG00000000355,Mcts1,1721,1203,2050,841,1012,880,1333,1320,770,1089,759,925,942,760,722,714,1319,1064,1466,746
ENSMUSG00000000359,Rem1,19,23,25,14,14,14,24,19,15,12,15,12,7,11,7,14,11,13,27,12
ENSMUSG00000000365,Rnf17,46,44,39,28,42,33,38,32,38,36,20,27,18,17,25,8,41,33,33,11
ENSMUSG00000000374,Trappc10,7031,5107,8510,3238,4466,3833,4777,5283,3466,4371,3464,4150,3793,3382,2985,3215,6483,5069,6803,3433
ENSMUSG00000000378,Ccm2,2408,1622,2632,915,1270,1196,1326,1553,1028,1192,1027,1364,984,893,833,1022,1880,1418,1999,920
ENSMUSG00000000381,Wap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000384,Tbrg4,1645,1108,1752,712,982,842,1024,1021,830,960,767,880,728,672,619,722,1387,979,1299,731
ENSMUSG00000000385,Tmprss2,1,2,3,0,0,4,2,1,3,2,0,4,1,0,0,0,0,0,1,0
ENSMUSG00000000386,Mx1,38,34,30,14,27,10,22,13,20,20,7,15,14,10,6,12,5,7,16,11
ENSMUSG00000000392,Fap,290,178,262,153,180,145,211,232,158,174,85,117,91,72,89,48,192,150,151,103
ENSMUSG00000000394,Gcg,2,3,3,0,1,0,0,4,2,1,2,1,0,0,1,0,1,0,3,0
ENSMUSG00000000399,Ndufa9,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000402,Egfl6,97,88,129,48,65,44,68,61,51,59,33,32,45,40,39,25,43,42,61,38
ENSMUSG00000000409,Lck,43,50,82,49,70,31,67,54,44,42,21,31,31,41,32,10,43,35,42,17
ENSMUSG00000000411,Tssk3,4,5,8,4,2,4,7,4,2,7,2,5,2,3,3,1,2,1,6,1
ENSMUSG00000000416,Cttnbp2,8244,5837,9657,3896,4534,4438,6355,6021,3885,5157,3454,4293,4014,3315,3788,3825,6447,5255,7499,3947
ENSMUSG00000000420,Galnt1,2926,2206,3621,1494,1839,1604,2457,2370,1569,1952,1074,1443,1515,1283,1168,1088,2165,1917,2453,1447
ENSMUSG00000000435,Myf5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0
ENSMUSG00000000439,Mkrn2,1855,1308,2189,869,1170,942,1255,1357,898,1129,787,983,905,764,715,774,1521,1175,1536,828
ENSMUSG00000000440,Pparg,210,162,213,113,105,73,169,156,74,129,86,92,65,113,48,80,120,94,200,68
ENSMUSG00000000441,Raf1,4877,3341,5442,2273,2589,2556,3179,3218,2161,2752,1962,2440,2141,1761,1678,1799,3584,2830,3745,1969
ENSMUSG00000000486,Septin1,40,28,18,17,16,9,18,11,26,39,13,10,14,19,11,7,27,16,25,10
